cowords	actual sense	predicted sense	correct
threshold mass derive momentum threshold assumption mean impact velocity u.s. ussr work	1:06:00::	2:41:02::	0
threshold mass derive momentum threshold assumption mean impact velocity u.s. work ussr	1:06:00::	2:41:02::	0
write utopia treat learned diversion learned world phantasy person amuse holiday spontaneous overflow intellectual high_spirits revel debate paradox comedy invention	1:06:00::	2:41:02::	0
person writing wholly limited such exercise almost dimly remember dozen or_so other author live time works tenuously survive mind few hundred scholar decade pursuit very specialized occasions read	1:06:00::	2:41:02::	0
only one other contemporary person evoke so immediate direct response only one other contemporary person	1:06:00::	2:41:02::	0
notice person horse long log building assume friend slip inside be able put_up good fight begin way ditch join	2:38:00::	2:41:02::	0
normal year college be 30 semester_hour	1:04:01::	2:41:02::	0
opposition point_of_view have staunch support person	1:06:00::	2:41:02::	0
person note difference pleural blood supply exist animal nowhere published find do comparative study intrapulmonary feature various mammalian lung other_than dog cat person	1:06:00::	2:41:02::	0
in_addition little do comparative basis regard_to normal existence bronchial_artery pulmonary_artery anastomosis	1:09:00::	2:41:02::	0
n't entrust person better hands know muscle sternocleido_mastoideus neck right down tibialis_anticus leg better still know just exercise best person principle combine fast fast muscle growth	2:35:02::	2:41:02::	0
person always have shapely leg swim water_ski really n't very_much	2:29:00::	2:41:02::	0
person be specialist torso development long favor now famous technique one exercise be pressing pushing movement accent one sector muscle group specific way follow pulling exercise opposing sector same muscle group	2:29:00::	2:41:02::	0
strongly upper lat serratus fine exercise pinpoint concentration force dumbbell variation afford	2:29:00::	2:41:02::	0
time person entire chest back lat shoulder area be pumped-up almost burst point person take time do a_bit more pectoral front deltoid shaping	1:04:00::	2:41:02::	0
come not alone training certain definition specialization exercise champion select knowledge exactly best	2:41:03::	2:41:02::	0
often exercise well bodybuilder less spectacularly	2:41:03::	2:41:02::	0
ever forget even moment say perfectly no_matter have short long thighbone length	2:41:03::	2:41:02::	0
indeed light weight much better greater more extensive split	2:35:02::	2:41:02::	0
future immediate future make include take upstairs give a_bit space friend make available fingertip	2:41:06::	2:41:02::	0
be display work_in_progress finished	1:06:00::	2:41:02::	0
hard tuesday wednesday thursday person say probably have good scrimmage friday	2:41:02::	2:41:02::	1
work_out hour saturday then monday tuesday next week then taper_off	2:29:00::	2:41:02::	0
make_up tumbling say start somersault run_through such stunt headstand handstand cartwheel backbend culminate nearly impossible combination aerial flip twist apparatus	1:04:00::	2:41:02::	0
certainly be less anxiety fewer accident be clumsy child sustain worst injury high scholastic average alert child better	2:41:06::	2:41:02::	0
dance teacher respond person request not_only regular dance also kind basic gymnastic work make_for strength flexibility	1:04:00::	2:41:02::	0
dance teacher respond person request not_only regular dance work also kind basic gymnastic make_for strength flexibility	1:04:00::	2:41:02::	0
at_first child do kick_up so teacher determine ready alone need help	2:41:02::	2:41:02::	1
bare foot be better such form slipper	1:04:00::	2:41:02::	0
at_all	2:41:00::	2:41:02::	0
on_the_contrary even heart bible_belt attest call industrial_revolution technological_revolution long be underway together corresponding change man picture world	2:41:00::	2:41:02::	0
be ancient venerable tradition church derive however heritage greek rather bible god be completely independent creation have need man accomplish world	1:04:00::	2:41:02::	0
finally also mention several member self-consciously neoliberal movement develop group be heavily indebted philosophically creative person	1:06:00::	2:41:02::	0
specialist learn do great_deal improve size health plant resulting flower	1:09:00::	2:41:02::	0
be best buy fresh dealer improve	2:41:02::	2:41:02::	1
done be accomplished ignore plant	1:04:00::	2:41:02::	0
person experiment therapeutic lie_in area	1:04:00::	2:41:02::	0
student musical form would-be classifier present problem	1:06:00::	2:41:02::	0
turn_to more modern version person london offer most sophisticated keyboard	1:04:00::	2:41:02::	0
person be very_much akin person sound disc be dated have hard_time locate copy	1:06:00::	2:41:02::	0
too many record seem reduce symphonic complexity melody accompaniment	1:06:00::	2:41:02::	0
late ninth century calm severe serenity display	1:06:00::	2:41:02::	0
ninth century be artistic spiritually free most self-sufficient past future loving skill spend artist product be testimonial sense do be important be appreciated	1:06:00::	2:41:02::	0
vase embody basic aesthetic logical characteristic greek civilization at_first hesitantly protogeometric and_then more confidently initial stage geometric style	1:06:00::	2:41:02::	0
plate illustrate four example be common spirit different school	1:06:00::	2:41:02::	0
end august give satisfactory service	2:35:02::	2:41:02::	0
be two human_being together same project be competition no_more escape expect escape grave	2:41:06::	2:41:02::	0
question motive make work content thought eventual victory however bring_about be sweet indeed	2:41:06::	2:41:02::	0
work question motive make content thought eventual victory however bring_about be sweet indeed	2:41:06::	2:41:02::	0
arm give some trouble person be not enough medical expert determine heal improperly person simply rebel tedious print_shop use stiffness arm excuse	1:04:00::	2:41:02::	0
ejaculate surprised woman look person explanation part ceremony only offer a_few words doctor provincial american speech state nerves bring_on demand	1:04:01::	2:41:02::	0
doctor mind great speed rise put_on greatcoat address person muted voice	2:41:02::	2:41:02::	1
be reliably give understand technical argot engage particular branch boost i.e. burglar rob tenant be absent contrast hot prowler occupant be home	2:41:06::	2:41:02::	0
grocery youth soon tired_of depressing effect customer be sufficiently neurotic threat incubus let go	2:41:00::	2:41:02::	0
worth dwell detail crisis story bring_together number characteristic element make curious riddle compound obscurely centrally significant person	1:06:00::	2:41:02::	0
artist suppose find one more moment strike student absolutely decisive ultimately emblematic be not less strikingly so be mysterious deeply hidden constatation thought encipher single image single moment	1:06:00::	2:41:02::	0
horrifying humor specifically sexual embarrassment joke go_wrong monstrous image fat man dress_up whore dress_up baby epiphany quivering flesh bring_together secret liaison indolent mindless sensuality sharp shrewd talent cleverness occasional touch genius however not know attack problem suffering miraculous way music revelation death associate single instant seem triumph art rather desperate art also evoke numerous distant resonance entire body person	1:06:00::	2:41:02::	0
go so much detail so small be also so typical work represent germinal form conflict remain essential person writing	1:06:00::	2:41:02::	0
go so much detail so small work be also so typical represent germinal form conflict remain essential person writing	1:06:00::	2:41:02::	0
monk person bring renaissance place background munich turn_of_the_century protest luxurious display art shop person particular person portray voluptuous style model gossip painter mistress	1:06:00::	2:41:02::	0
tell manservant open door lordship engage leave strict order not disturb	1:04:00::	2:41:02::	0
author conclude conduct patient everyday life even more_than foregoing fact mention leave positively room doubt sense_of_touch ordinary sense word be unaffected put same thing physiological term performance capacity tactual apparatus periphery up tactual center brain that_is one end other be unimpaired	1:04:01::	2:41:02::	0
instrument use be slight modification previously describe	1:04:00::	2:41:02::	0
be necessary fill manometer column reference height	1:19:00::	2:41:02::	0
in_other_words ideal_gas compress keep constant temperature do compress completely convert heat transfer surrounding heat_sink	1:19:00::	2:41:02::	0
mean equal in_turn equal	1:19:00::	2:41:02::	0
energy isothermal do perfect_gas come thermal energy surroundings	1:19:00::	2:41:02::	0
location legislator city official pass enabling_legislation permit establishment fair equitable pension plan city employee	2:41:06::	2:41:02::	0
person group public_relations director resign tuesday person campaign	2:41:00::	2:41:02::	0
person expect make traditional visit chamber adjournment	2:41:02::	2:41:02::	1
